Garamond 157 Fount (Chars=Capitals) (Style=s)
Case Layout: case_layout/layout32.txt
Wedge: S536-11.25
Wedge Units: [5, 6, 7, 8, 9, 9, 10, 10, 11, 12, 13, 14, 15, 17, 18, 18]
Galley Width: 37 pica (155mm)
Setsize: 11.25
Calc units of set per line: 710.4
Quad: Position: ('H', 15)
Jspace: Position: ('H', 2)

Increase the speed of the punch...
**p30
**d100
Send commands to test all the punches, then advance 400mm (125 linefeeds)
**t4
**f125
|------------------------------o| '0005' ['0005'] Caster Stopping
|-----------o---------o---------| 'F' ['D', '6']  Width: 9, Used: 207 of 638.4
|-----------o---------o---------| 'F' ['D', '6']  Width: 9, Used: 216 of 638.4
|-----------o---------o---------| 'F' ['D', '6']  Width: 9, Used: 225 of 638.4
|-----------o---------o---------| 'F' ['D', '6']  Width: 9, Used: 234 of 638.4
|-----------o---------o---------| 'F' ['D', '6']  Width: 9, Used: 243 of 638.4
|-----------o---------o---------| 'F' ['D', '6']  Width: 9, Used: 252 of 638.4
|-----------o---------o---------| 'F' ['D', '6']  Width: 9, Used: 261 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 270 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 288 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 299 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 310 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 321 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 332 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 343 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 354 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 365 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 376 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 387 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 398 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 409 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 420 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 431 of 638.4
|----------o-------------o------| 'G' ['E', '9']  Width: 11, Used: 442 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 453 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 471 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 483 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 495 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 507 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 519 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 531 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 543 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 555 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 567 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 579 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 591 of 638.4
|-----------o-------------o-----| 'H' ['D', '10']  Width: 12, Used: 603 of 638.4
